trip_id,start_time,end_time,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear,tripduration_mins,trip_date,trip_day,trip_month,trip_hour,age,gender_cleaned,usertype_cleaned
24961758,2019-09-14 21:20:36 UTC,2019-09-14 21:35:11 UTC,5174,874,35,Streeter Dr & Grand Ave,197,Michigan Ave & Madison St,Customer,Male,2000,14.57,2019-09-14,14,9,21,25,Male,Customer
22757870,2019-05-22 08:28:08 UTC,2019-05-22 08:35:26 UTC,5949,438,18,Wacker Dr & Washington St,197,Michigan Ave & Madison St,Subscriber,Male,1959,7.3,2019-05-22,22,5,8,66,Male,Subscriber
24476931,2019-08-19 19:51:32 UTC,2019-08-19 19:54:02 UTC,4329,149,140,Dearborn Pkwy & Delaware Pl,85,Michigan Ave & Oak St,Subscriber,Male,1955,2.48,2019-08-19,19,8,19,70,Male,Subscriber
25916255,2019-12-20 11:42:16 UTC,2019-12-20 13:50:02 UTC,2280,7665,85,Michigan Ave & Oak St,85,Michigan Ave & Oak St,Customer,Male,1952,127.75,2019-12-20,20,12,11,73,Male,Customer
23306599,2019-06-22 16:14:50 UTC,2019-06-22 17:10:25 UTC,1427,3335,25,Michigan Ave & Pearson St,85,Michigan Ave & Oak St,Customer,Female,1958,55.58,2019-06-22,22,6,16,67,Female,Customer
23698749,2019-07-11 19:51:01 UTC,2019-07-11 21:35:22 UTC,2729,6261,43,Michigan Ave & Washington St,85,Michigan Ave & Oak St,Customer,Male,2000,104.35,2019-07-11,11,7,19,25,Male,Customer
24123163,2019-08-02 14:50:28 UTC,2019-08-02 15:19:43 UTC,3812,1755,3,Shedd Aquarium,85,Michigan Ave & Oak St,Customer,Male,1959,29.25,2019-08-02,2,8,14,66,Male,Customer
21881151,2019-02-05 10:00:37 UTC,2019-02-05 10:09:33 UTC,5375,536,192,Canal St & Adams St,43,Michigan Ave & Washington St,Subscriber,Male,1950,8.93,2019-02-05,5,2,10,75,Male,Subscriber
24249786,2019-08-08 08:57:18 UTC,2019-08-08 09:06:52 UTC,561,573,192,Canal St & Adams St,43,Michigan Ave & Washington St,Subscriber,Male,1950,9.55,2019-08-08,8,8,8,75,Male,Subscriber
22044628,2019-03-13 16:37:47 UTC,2019-03-13 16:46:01 UTC,5716,494,191,Canal St & Monroe St (*),43,Michigan Ave & Washington St,Subscriber,Male,1951,8.23,2019-03-13,13,3,16,74,Male,Subscriber
23170972,2019-06-14 15:41:53 UTC,2019-06-14 16:00:26 UTC,1590,1113,196,Cityfront Plaza Dr & Pioneer Ct,43,Michigan Ave & Washington St,Subscriber,Male,2001,18.55,2019-06-14,14,6,15,24,Male,Subscriber
25407506,2019-10-13 17:51:04 UTC,2019-10-13 17:57:39 UTC,2895,395,50,Clark St & Ida B Wells Dr,43,Michigan Ave & Washington St,Subscriber,Male,2002,6.58,2019-10-13,13,10,17,23,Male,Subscriber
22443663,2019-04-25 12:57:22 UTC,2019-04-25 13:06:30 UTC,3838,548,96,Desplaines St & Randolph St,43,Michigan Ave & Washington St,Subscriber,Male,1958,9.13,2019-04-25,25,4,12,67,Male,Subscriber
22128808,2019-03-25 15:39:29 UTC,2019-03-25 15:44:59 UTC,5145,330,98,LaSalle St & Washington St,43,Michigan Ave & Washington St,Subscriber,Male,1958,5.5,2019-03-25,25,3,15,67,Male,Subscriber
25946956,2019-12-27 09:40:57 UTC,2019-12-27 10:09:35 UTC,5339,1718,334,Lake Shore Dr & Belmont Ave,43,Michigan Ave & Washington St,Subscriber,Female,1955,28.63,2019-12-27,27,12,9,70,Female,Subscriber
23041048,2019-06-07 14:38:13 UTC,2019-06-07 16:44:59 UTC,4696,7606,43,Michigan Ave & Washington St,43,Michigan Ave & Washington St,Customer,Female,2000,126.77,2019-06-07,7,6,14,25,Female,Customer
25562813,2019-10-25 16:43:31 UTC,2019-10-25 17:06:20 UTC,1828,1368,43,Michigan Ave & Washington St,145,Mies van der Rohe Way & Chestnut St,Customer,Male,2000,22.8,2019-10-25,25,10,16,25,Male,Customer
22720919,2019-05-19 10:09:25 UTC,2019-05-19 10:24:43 UTC,3412,918,37,Dearborn St & Adams St,173,Mies van der Rohe Way & Chicago Ave,Customer,Male,1957,15.3,2019-05-19,19,5,10,68,Male,Customer
24345837,2019-08-12 22:34:50 UTC,2019-08-12 23:02:55 UTC,5150,1685,6,Dusable Harbor,90,Millennium Park,Customer,Male,2000,28.08,2019-08-12,12,8,22,25,Male,Customer
23906197,2019-07-23 07:46:22 UTC,2019-07-23 07:57:42 UTC,112,680,7,Field Blvd & South Water St,90,Millennium Park,Subscriber,Male,1959,11.33,2019-07-23,23,7,7,66,Male,Subscriber
21929682,2019-02-16 11:25:38 UTC,2019-02-16 11:34:58 UTC,4176,560,255,Indiana Ave & Roosevelt Rd,90,Millennium Park,Subscriber,Male,1955,9.33,2019-02-16,16,2,11,70,Male,Subscriber
24313387,2019-08-10 23:00:55 UTC,2019-08-10 23:11:03 UTC,1946,608,40,LaSalle St & Adams St,90,Millennium Park,Customer,Male,2000,10.13,2019-08-10,10,8,23,25,Male,Customer
25469942,2019-10-18 12:46:22 UTC,2019-10-18 12:58:04 UTC,4848,701,168,Michigan Ave & 14th St,90,Millennium Park,Subscriber,Male,1955,11.68,2019-10-18,18,10,12,70,Male,Subscriber
23453239,2019-06-29 15:41:14 UTC,2019-06-29 16:10:41 UTC,1390,1767,85,Michigan Ave & Oak St,90,Millennium Park,Customer,Male,1952,29.45,2019-06-29,29,6,15,73,Male,Customer
